sn,Comments,Labels
24,I wanted to pay my credit card ad I am going to be out of Canada for six months and was unable to do it!,Brand 
25,"You made it easy to see what we owe, all info i need on one screen.   You let us know via e mail what is owed and when., with reminders. Cash back is interesting. My husband recently lost his card and your rep asked me alot of questions to ensure we were well identified.","Credit/Debit Card ,Representative ,Rewards ,Rewards "
26,Best customer service,Customer Service 
27,"Well, someone took a chance on me, after I messed up my credit and gave me a second chance to rebuild. I think for that reason alone I would recommend. I’ve never had any issues with my card, or sales ppl calling me. Great card if you ask me:):)","Life Events ,Policy "
28,"There is only 1 possible way to receive the P.I.N. needed for my card.  May want to look at other options considering Canada Post does not seem to be reliable.  This being said, customer service was unabl;e to help but they were very kind and answered very quickly with little wait time.","Phone Experience ,Representative ,Representative ,Representative "
29,My credit card was compromised and with one phone call my card was cancelled and a new one was issued with no problems,"Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Fraud and Disputes ,Issue Resolution ,Phone Experience ,Representative "
30,So far my experience has been positive.,Brand 
31,The 1 800 customer call centre could use a little help. I’ve called a few times with fairly basic questions and really can’t get an experienced representative who knows the answers about anything relevant to my questions.,"Phone Experience ,Representative ,Representative "
32,The representative that took my call was very professional and helpful.  She answered all my questions and solved the problem I had in a  timely fashion.  Thanks your very much,"Issue Resolution ,Issue Resolution ,Representative ,Representative ,Representative ,Representative "
33,"I was a little frustrated that my card had to be cancelled after one instance of potential fraud, considering the many creditors on my card that I will now have to contact with my replacement card.  But I guess I can appreciate the position of  ABC to assume that my card was compromised.","Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Fraud and Disputes ,Fraud and Disputes "
34,The person on the Line was very helpful. Performed all tasks very professionally.,"Representative ,Representative "
35,One transaction went through 3 times and nothing could be done as they were pending and because I chose to have a low credit limit other legitimate transactions would not go through.  No increasing my credit limit no removing pending items no solutions,"Fraud and Disputes ,Issue Resolution ,Policy ,Representative ,Terms ,Transactions/Process Experience "
36,Improve your processes for getting a credit limit increase. I'm appalled with your current processes.,Terms 
37,"Your agent was professional, knowledgable, & patient with me.","Representative ,Representative ,Representative "
38,I was on the phone with the automated service for a short time and was transferred to a rep that was fast at solving my questions and very polite,"Issue Resolution ,Phone Experience ,Phone Experience ,Representative ,Representative ,Transactions/Process Experience "
39,"It is usually good services on the phone but if I have to call every time that I want to make a purchase on the net with my card, I will start using another one.","Customer Service ,Phone Experience "
40,"October 28, 2018 I am concerned that  ABC does not provide me with the option NOT to use tap.
 That is why I will not recommend this card. If a cardholder advises the administration to turn off tap on the card you should comply. I am responsible for what happens to my cart, it is my credit rating and I take that very seriously.

Sylvie Hand",Policy 
41,"I've come from a poor credit history, yet  ABC with their guaranteed approval credit card allowed me to show that a one time incident doesn't define a person's capability to establish credit. So thanks","Brand ,Life Events ,Policy ,Representative "
42,3% restaurants rebate,Promotions and Benefits 
43,The representative was very nice,Representative 
44,Good service.,Customer Service 
45,Big interest,Terms 
46,The service was excellent,Customer Service 
47,I received such great customer service via phone,Customer Service 
48,Ability to go to a live operator,Phone Experience 
49,Incredibly long waiting time for phone support (over 1 hour),"Phone Experience ,Phone Experience "
50,Quick knolegable staff searched for a solution and advised me of the process within 10 min,"Issue Resolution ,Representative ,Representative "
51,"Call times are long waits.
Inflexible upper limits.
Like the points system with YYY.","Phone Experience ,Phone Experience ,Rewards "
52,"Interest rates , TOO HIGH!! , we have 2 other cards that are cheaper and that is why I use this card less than the others",Terms 
53,Great service,Customer Service 
54,No annual fee and cash back,"Rewards ,Rewards ,Terms "
55,I like.rewards and how they communicate,Representative 
56,Representative was really easy to talk to. Helped me quickly and efficiently.,Representative 
57,"Rep on the phone was helpful , understood my concern",Representative 
58,Not friendly your customer service reps,Representative 
59,Understanding and compassionate,Representative 
60,"I depended on you as my credit card company and you totally let me down, I have been the perfect customer never late always pay more, can’t get a credit increase, was in a bind in Vegas and needed to get home early but needed about 200.00 more than my limit and your company bailed on me. I have done everything for you and I get nothing in return, im trying to improve my credit and when I do I’m going to dump you just like you dumped me and I will never recommend you to anyone I know","Brand ,Brand ,Payments ,Policy ,Terms "
61,When I called I explained I couldn't logon to my account.  The lady was unable to help me.  - So I still can't.,Representative 
62,Good customer service,Customer Service 
63,Good service,Customer Service 
64,"I have had a good experience so far with  ABC MasterCard and I hope to continue to enjoy utilizing my Gold MasterCard in the PRESENT as well as in the FUTURE. I look forward to increasing my credit limit and building a strong customer relationship with  ABC. 
Thank You
Steven Sousa","Brand ,Life Events ,Policy ,Terms "
65,"Three times my card has to be cancelled and a new one on the way.  The card did not ever make it to my house, not even yet.  I am now waiting for another 7 to 10 business days for my new card.  I applied for my card almost 2 months ago; got my pin number about 1 month ago.  This process is far too drawn  out, should be a lot more painless.","Account Maintenance & Closing ,Becoming a Customer ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card "
66,Respect to find  the reason for my call.,Representative 
67,I Just received my First YYY  ABC about Three weeks ago and have had two fraudulent emails sent to my email concerning my ABC ! This issue was disturbing in my opinion.,Fraud and Disputes 
68,The issue I called about was not resolved.,"Issue Resolution ,Representative "
69,"A problem was solved as soon as my card was tried to be used.
I was contacted and the information was corrected and the card cancelled.
My new one will be along in a few days.
Thanks again","Credit/Debit Card ,Issue Resolution ,Representative "
70,I like the rewards the YYY  ABC card provides.,Rewards 
71,I want to speak to a CSRfrom Canada. I was asking about the postal strike. I needed info on whether my statement was mailed or not. Bring CSR jobs back toCanada. I also thought This was a cash back card. It is not,"Account Communications ,Rewards ,Rewards "
72,"The representative was very friendly and kindness, provided me the best answer","Representative ,Representative "
73,Answered my question quickly.,Representative 
74,There was no communication to me to say that there was more info need before I could use my card.   My account is frozen until I fax in the info.  It’s only s very low limit and I paid my account off and was heading to the states and could not use my card.  I think I deserve a little more respect as a new client and a better card limit as I am a responsible person own my own home and work full time.,"Brand ,Credit/Debit Card ,Payments ,Representative ,Terms "
75,They were straight forward and told me all the information I needed to know and was very polite,Representative 
76,Friendly and give good advice on how to protect the credit card.,Representative 
77,Each time my questions were answered.,Representative 
78,"I made 2 calls to CO during the same day.  The first call did not resolve my issue.  I had rented a car for a very important family weekend that we do once a year.  That morning, the rental company sent an email stating that a deposit of $250.00 was required.  Had I of known this, I would have made a bigger payment.  When I arrived to pick up the car, I was $20.00 short of 250.00 for the deposit on my card and he rental company would not allow me to pay the difference in cash.  Our weekend was ruined.  I called CO back again to ask if there was anything that could be done to allow the hold of funds to go through.  It wasn’t even a charge that would be permanent.  The agent said no again.  I asked to speak to a supervisor. This is where your service shone.  I spoke to an amazing young man in New Brunswick who quickly figured out a way to allow the payment sitting on the account to release the funds.  He stayed on the line with me as I ran back to the rental company and had the $250.00 deposit put through.  He was kind, thoughtful, professional and efficient.  He saved the weekend for my two children and I who are 10 and 8 and we’re in tears that our weekend may have been ruined over $20.00.  Had it not been for this employee, I would have a very bad impression of your service but he went above and beyond for your customer and he should be commended.   Thank you so much!!!","Customer Service ,Customer Service ,Issue Resolution ,Issue Resolution ,Phone Experience ,Policy ,Representative ,Representative ,Representative ,Representative ,Representative "
79,The cc is really only best for those working on their credit. I have been quite happy but most people would do better with a different card such as in were they can collect points,Rewards 
80,I would recommend it if the person is a YYY member. The rep I had a live chat with was professional and I appreciate that.,"Representative ,Representative ,Website Features "
81,I talked to 3 different people at  ABC. And my problem is still not fixed.,"Issue Resolution ,Issue Resolution ,Representative "
82,Always great service,Customer Service 
83, ABC has many credit cards that help anyone who has had bad credit and helps to build the credit for them,"Brand ,Life Events ,Policy ,Representative "
84,Good customer support,Customer Service 
85,Great service,Customer Service 
86,At  ABC you give people a chance to get back on there feet.,Life Events 
87,I called to have my email changed.   The call was cut off and no one bothered to call me back.,"Account Maintenance & Closing ,Customer Service ,Phone Experience ,Phone Experience "
88,"The card also serves as the membership card so only one card is needed.
The cash back helps, especially for gasoline.","Rewards ,Rewards "
89,The person that I talked to offered no solution to my situation.,Representative 
90,"We were send a no reply email notifying us our card may have an international fraud charge. When we emailed back it came back undeliverable. We called number on our card. We could not seem to make your service rep understand that ABC had notified us and we were responding; not us calling them to report a charge. We had trouble with the accent of the first person and asked for another clerk. We were put on hold and waited and waited and finally hung up and then called a second time. The second person after having to answer the same questions he put to us more than once finally got the message that we were responding to ABC’s email. It was then all straightened out. 
If an international alert is sent by email, as a customer I should have been given a case ID number and have been able to reply. 
Everyone would be happier.","Account Communications ,Credit/Debit Card ,Credit/Debit Card ,Fraud Alerts ,Fraud Alerts ,Fraud and Disputes ,Phone Experience ,Phone Experience ,Phone Experience ,Phone Experience ,Representative "
91,rep was very helpful and easy to speak with,Representative 
92,Staff are 100 per cent of time very helpful and  kind and accurate.,"Representative ,Representative "
93,"GREAT RATES, USAGE NOTIFICATIONS AND SECURITY IS SECOND TO NONE.  One small concern.  When I tried to use my card to purchase a ticket on Aegean Airlines, my purchase was rejected so I had to use another credit card.  Hopefully this isn,t going to be a problem when travelling abroad.  I have an online purchase password but I was never asked to provide it, just got rejection.  Not sure why this should happen.","Account Communications ,Website Security "
94,The prompt action and answers to my questions.  The actionsI am to take when I receive information from  ABC regarding unauthorized transactions.,"Fraud and Disputes ,Representative "
95,The help with fixing my credit,Policy 
96,I still dont know if my card issue is resolved so i do not know how to answer this honestly.,"Issue Resolution ,Representative "
97,The service was professional and nice. However I was told I’d get a call in the evening and didn’t.,Representative 
98,The question was answered in a professional manner and I'm satisfied with the answer.,"Representative ,Representative "
99,Because I can not have it set up to be automatically paid from my bank account each month.,Payments 
100,I simply called to get an automated message about my balance and the rep asked me over 10 questions...quckly mentioned there may be fraudulent activity after I kept asking why all the questions..then she put me on hold for 10 min..I had no idea what was going on.  Finally she told me when I questioned if this was even the  ABC number.  It turns out it was just a purchase at Toys R Us that was processed but returned but she just made me anxious BC I had no idea what was going on.,"Fraud and Disputes ,Phone Experience ,Phone Experience "
101,"I resolved the reason for my original call without much difficulty.  The reason for my call was to resolve a hold on my credit card account. The hold was due to potential fraudulent charges that I had no problem clearing up. However, when I asked the phone attendant why I wasn't contacted by email, text or phone about the hold on my card, she wasn't very helpful. She kept insisting that there was a way to request such a notification in the online ""Alert"" section but there was not. I explained to her what was seeing on my computer screen and she was not able to provide any help finding such a setting. A simple solution was for her to acknowledge that there is no alert setting to notify clients when a card is on hold for fraud (or any other reason) and provide assurance that a suggestion will be logged. As it stands now, I need to continually check the online card status before use to avoid the embarrassment of having my card rejected on use!","Account Communications ,Credit/Debit Card ,Customer Service ,Fraud Alerts ,Fraud and Disputes ,Phone Experience ,Policy ,Representative ,Representative "
102,Very good service,Customer Service 
103,My issue was not resolved despite 3 phone calls made to 3 different people. I still CANNOT ACCESS my online account. I am definitely annoyed & baffled !!!,"Issue Resolution ,Issue Resolution ,Phone Experience ,Representative "
104,Because it is reliable and good 24/7 customer service support.,Customer Service 
105,I pay my bill on time and in full every month but was not able to get a credit increase.,Terms 
106,"The call service is automated to have customers do a change in address using artificial intelligence that doesn’t comprehend the difference between Westridge and westside, I had to do this 3 or 4 times before I got to speak to a human and then had to revalidate that I am who I am to change my address.

It probably would be easier and faster to just cancel my account and set up a new account.

But at least my coworkers got a laugh at listening in to my customer experience with  ABC","Account Maintenance & Closing ,Account Maintenance & Closing ,Becoming a Customer ,Brand ,Phone Experience ,Representative "
107,Everything was fine and my inquiry was answered in one call. That's good enough for me.,Phone Experience 
108,Questions answered without long pauses!,Representative 
109,There is no reason for me not to recommend as you have always helped people in need to build their credit and take away times of trouble.,"Brand ,Life Events ,Policy ,Representative "
110,Excellent service,Customer Service 
111,Good service,Customer Service 
112,Tres bon service clientele,Customer Service 
113,Cashback rewards. Great customer support. Card accepted everywhere,"Customer Service ,Rewards ,Rewards "
114,Because I have a good experience with this card and must  reason is cash back!,"Brand ,Rewards ,Rewards "
115,Person i spoke to was very helpful,Representative 
116,Very helpful,Representative 
117,Limitations on providing a credit limit increase even though the account was always in good standing.,Terms 
118,"Multiple unsubstantiated fraud alerts requiring that I call and spend 20=30 minutes on hold, and then provide provide the same id info multiple times.","Account Communications ,Fraud Alerts ,Fraud Alerts ,Fraud and Disputes ,Phone Experience ,Phone Experience "
119,Only problem I had was I can’t use my credit card because I forgot my PIN number - the person couldn’t help me with this problem saying that my PIN number will be sent in the mail within two weeks - longer I’m guessing with the mail strike.,"Credit/Debit Card ,Representative ,Representative "
120,Great service,Customer Service 
121,"The rep I spoke to was polite, efficient and knowledgeable.","Representative ,Representative ,Representative "
122,Friendly service,Representative 
123,Great service,Customer Service 
124,Polit friendly and helpful.,"Representative ,Representative "
125,Well knowledgeable,Representative 
126,Pretty good service.,Customer Service 
127,"Helping people a lot,and customer service is excellent.","Customer Service ,Representative ,Representative "
128," ABC always treats me with respect, even in difficult times and I appreciate that, so yes I would and in fact I just did recommend you👍🏻👍🏻😁😁","Brand ,Representative ,Representative "
129,"Having great difficulty in having my credit limit increased - why have you limited me to $8000.000 credit when  other credit cards (TDvisa) give me a $30,000.00 limit? 
When I phoned to request an increase to a mere $15,000.00 your representative couldn't do it and didn't give me any explanation!","Policy ,Terms "
130,Agent did not listen well,"Representative ,Representative "
131,Good customer service,Customer Service 
132,Service was good. I needed help to register my account online and the service representative advised me on how to do so. TKs!,"Becoming a Customer ,Customer Service ,Representative "
133,I like  ABC for the simple reason they give people like myself a second chance to rebuild there credit history.,"Life Events ,Policy "
134,Good service and great rate on building up ur credit,"Customer Service ,Life Events ,Policy ,Terms "
135,"I had made an error and paid  my account before my statement. I usually pay my balance in full.
I received a notice saying my interest rate was to increase.
The customer agent and her supervisor explained that could not change 
I have major dental work to total $28,000 that I was going to use for points and now will have to use a different credit card","Account Communications ,Account Communications ,Customer Service ,Payments ,Representative ,Terms "
136,"Very helpful, great customer support","Customer Service ,Representative "
137,The agent was helpful and able to answer my question.,"Representative ,Representative "
138,I find the member fee way too expensive.,Terms 
139,"P.pp
Have very h





Have very good service from ABC","Brand ,Customer Service "
140,Resolved my issues with resetting pass word an enabling log in.,Life Events 
141,Rep was polite and solved my problem,"Issue Resolution ,Representative ,Representative "
142,"No issues, no wait time and not like most companies ponding you off to a recording.","Phone Experience ,Phone Experience "
143,"There is no proper and professional process system in Place.
I have had number of problems and delay processing my full payments because your old system couldn't have automatic payment option and you had to do this manually every time. When the option of automatic full payment finally came available and  was set up. It only worked for few payments and suddenly your system stop working. This issue put me in very bad situation AGAIN during my trip and left me helpless and frustrated. I call the customer service only to find out all they can do is to reverse the interest charges and not being able to release the account which had adequate balance left on it. I had paid the full amount of my last payment and offered to show the receipt of payment and they refused to process until 5 business day passes.
Over all no solutions at all every time i call the customer service. I never had any problem using  my 30 years Visa and it is disappointing for  ABC Mastercard","Brand ,Customer Service ,Issue Resolution ,Issue Resolution ,Issue Resolution ,Payments ,Payments ,Payments ,Policy ,Representative ,Representative "
144,"Asked for $10,000 limit  received $6,000  Still need to use second card from bank for extensive business travel this winter.",Credit/Debit Card 
145,I haven't received a credit increase in over a year and I always pay my bill on time.,Terms 
146,Staff always great in helping me.,"Representative ,Representative "
147,Excellent service and good cash back,"Customer Service ,Rewards ,Rewards ,Rewards "
148,Cash back is great and customer service is very good too!!,"Customer Service ,Rewards ,Rewards ,Rewards "
149,Help me every time.,Representative 
150,Trying to resolve my missed payments that were due to a fraud on my bank account. Which I had reported.,"Fraud and Disputes ,Representative "
151, ABC keeps blocking my card for high transactions and i missed out on a good plane ticket because they thought it was fraud.,"Brand ,Credit/Debit Card "
152," ABC needs to provide more banking for the App, and must encourage compassion if people fall behind on their billing.",Representative 
153,"During my call the customer service rep could not provide me with a suitable answer to my issue why I have to have a code sent to my email for me to sign into my account, I then asked for an escalation to a supervisor after waiting for over 5 minutes and he too gave me a lame answer claiming it was in my best interest as ABC is experiencing a lot of fraud, that answer does not give me a lot of confidence in using ABC as my  CC company......very disappointing","Account Communications ,Brand ,Brand ,Customer Service ,Issue Resolution ,Representative ,Representative ,Terms "
154,Very courteous.  Though I never got the answer I needed she was very courteous.,"Representative ,Representative "
155,"My issue was not resolved, and this is a third call for the same problem. 

At this time, I am unable to access any online account information, as I had a previous account with  ABC, that was closed over 2 years ago. The account information is interfering with my attempts to enroll for online access for my YYY account with ABC. 

During the call, I was placed on a long hold, with no information given or additional offers of being called back. The only solution given to my current problem, for the third time, is to try to log in or enroll again in 15 business days. That is a ludicrous timeline, for an online system. 

Given the nature of my need, and multiple attempts not given any additionl assistance or resolution. I would not recommend based on the customer service or product that I have been given.","Customer Service ,Customer Service ,Issue Resolution ,Issue Resolution ,Issue Resolution ,Phone Experience ,Phone Experience ,Phone Experience ,Representative ,Representative ,Website "
156,As someone that is rebuilding their credit it's a good company that that has been recommended to me many times over.,"Brand ,Life Events ,Policy "
157,Helpful directions given,Representative 
158,Customer service was great,Customer Service 
159,"Liars, just for liars!!! when I got this card you guys told me that I will fix my credit with it and for every dollar in my count this bank would increase one extra dollar till $2500 dlls credit and then ??? nothing, only liars, after almost one year with it I just got a debit card, only a debit card with one year membership payed, I had a debit card already and in conclusion I do not need another debit card like your card that was supposed a credit card....","Brand ,Policy ,Representative "
160,"I've had stolen identity more than once from nefarious retailers in my community attempting to make purchases on my card after having used their services - it happened once with a Walmart cashier grabbing my card out of my hand and swiping it on a separate card terminal to later find an unknown charge attempt to my account & then again under similar circumstances with another retailer - both times  ABC took action very quickly and had a new card in my hand within a couple of days. I don't phone in to  ABC very often, but whenever I do I'm treated with courtesy & respect - good manners go a long way with me & it seems they matter to   ABC too - so I really like this attention to detail. I find your website very easy to use - I like the credit limit alerts I set up - they work seamlessly!  ABC also helped me build a credit rating years ago - I didn't have bad credit, I just didn't have a credit history - it because of how I was raised, that ""if you cannot afford it then you should wait until you can"" - it came from both my parents & grand parents - except I wanted things like car rentals and such that require a credit card - &  ABC helped me along with establishing my credit... I don't forget things like that & as such, I'm now a loyal patron... & I think that covers it.","Account Communications ,Brand ,Brand ,Credit/Debit Card ,Credit/Debit Card ,Data and ID Security ,Fraud and Disputes ,Fraud and Disputes ,Life Events ,Payments ,Policy "
161,The lady on the phone seems very much like she genuinely cared!! I didn't feel like she was judging be AT ALL ....THANK YOU😁,"Representative ,Representative "
162,I had no difficulty with any of my transactions and my phone call was answered promptly,"Phone Experience ,Transactions/Process Experience ,Transactions/Process Experience "
163,It's been a great introduction to credit services.,Customer Service 
164,I wasn't able to get a satisfactory answer to my question.,Representative 
165,Good bank,Brand 
166,"Very Nice, he/she answered all my question so that is really important to me.","Representative ,Representative "
167,Too much fees,Terms 
168,knowledgeable and helpful.,"Representative ,Representative "
169,Good services.,Customer Service 
170,I always received a better customer service. Also I like the reward programs,"Customer Service ,Rewards "
171,The customer service are great in understanding and they served as professional employees,"Customer Service ,Representative "
172,Not at all. Service was perfect,Customer Service 
173,Great service,Customer Service 
174,The customer service lady was great but the call was ended before I went through the whole process of on line  statement with her. I still can not access the on line statement because they wanted the Cvv number and I never received the card so don’t know the number. Called back and was told to go to my bank and pay the bill. I don’t live anywhere near my bank and didn’t even know how much the bill is for (can’t find the receipt) don’t have the card so it is very frustrating. I’ve been told they are sending me s new card and then I get an email message saying may it get it because of a strike. So here I am a bill is due can not get onto the statement  don’t have a card to shop at YYY. Don’t know how much I owe so no I’m not very happy.,"Account Communications ,Account Communications ,Branch ,Credit/Debit Card ,Customer Service ,Customer Service ,Phone Experience ,Representative "
175,Professional response,Representative 
176,"when a person is happy with a good service , he can recommend it to a friend .
it is my case. thanks.","Customer Service ,Representative ,Representative "
177,I have used a  ABC card for many years and always found it acceptable everywhere and trustworthy .   I appreciate the security safeguards.,"Brand ,Brand "
178,"The individual was helpful,very knowlegeable.",Representative 
179,Pleased with service,Customer Service 
180,"I have been waiting 4 months to use my credit card. First, I get a PIN number but no card in the mail. Now I get the card but no pin after calling and getting a new set in the mail.",Credit/Debit Card 
181,"I called ABC two occasions as I did not receive my statement, I ask them to send me a copy of my statement,I never received the copy and I still haven't so I still do not know what was spent and why my bill was higher, no one responded.
                                                                                                                                                                    Kathleen Toloff
.","Account Communications ,Account Communications ,Phone Experience "
182,"Everything from delivery, to actual execution was ridiculous. I was not even notified that there was something wrong with my account until I called in out of frustration.",Account Communications 
183,Vary good job ABC,Brand 
184,Friendly helpful staff,"Representative ,Representative "
185,Very personable and helpful,"Representative ,Representative "
186,Service should be personalized...i called to ask for a credit increase...take a look at my account history!! Joke that i was denied....i will go elsewhere,"Brand ,Customer Service ,Terms "
187, ABC has been amazing to work with. Very helpful,"Brand ,Representative "
188,I was recently treated with great respect and compassion by a woman named MUNINDRA,"Representative ,Representative ,Representative "
189,"Been asking for a credit limit raise, now I have it. Thx",Terms 
190,I already recommend  ABC to my friends yes I did because I liked,Brand 
191,"I am a developer/builder, your staff can never tell me when i will receive a limit increase....been with you guys for years and never have had one...asked several times.  my major business has gone else where",Terms 
192,Efficient polite helpful and quick. Thanx,"Representative ,Representative "
193,"The person I worked with was knowledgeable, focussed and seemed ready to solve my issues. In fact I used the card at a restaurant Saturday and I had no problems. Hopefully problem is solved.","Issue Resolution ,Representative ,Representative "
194,Customer service excellence,Customer Service 
195,I got exceptional service when I called  ABC,"Brand ,Customer Service "
196,They were very help full and understanding,Representative 
197,My credit limit is pathetic,Terms 
198,Courteous and patient person answered my questions,"Representative ,Representative ,Representative "
199,They were able to answer or solve my issue,"Issue Resolution ,Representative ,Representative "
200,Pleasant/informed conversation.  Wanted to help.,"Representative ,Representative "
201," ABC provides great customer service very helpful and on point. card works everywhere no annoying declines which are embarrassing
in public.","Credit/Debit Card ,Customer Service ,Representative "
202,Have had horrible experiences recently. My app and my home page still do not work. Everytime I call in I am told its me. Not helpful.,Representative 
203,"Polite, efficient",Representative 
204,The representative was very Caine and resolved the problem very fast,"Issue Resolution ,Issue Resolution ,Representative "
205,"I was told card ""most definitely"" works in the US - it does not ! My TD card rescued me from embarrassment.
I returned merchandise and credit to card was issued, hour later at checkout rejected ! My TD card was accepted.
My card was rejected 2 days ago on $305 transaction, my TD again worked.

Cancel this useless card forever and send me a cheque for my recent overpayment.
ABC SUCKS","Account Maintenance & Closing ,Brand ,Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Issue Resolution "
206,I received the information I requested quickly and with friendly service.,Representative 
207,Quick response to my fraud problem,"Fraud and Disputes ,Issue Resolution "
208,I felt that the assistant was a little impatient.  Other than that I was happy.,Representative 
209,Got me a quick answer to my question,Representative 
210,"Customer service provider was unable to answer any of my questions, spoke very poor English. This is frustrating since I'm asking about my Secured Credit Card, which I essentially paid for and am currently unable to use.","Banking Products/Services ,Customer Service ,Representative ,Representative "
211,No there is nothing thst comes to mind. The person i talked to was very helpful and was sble to answer my questions.,"Representative ,Representative "
212,Thank you .....  I am pleased with the service and my card.  It would be nice to be able to turn off card if you misplace your purse then turn it back on when you find it.    The mailing process time seems very long compared to most other things in Canada.,"Credit/Debit Card ,Customer Service ,Transactions/Process Experience "
213,"Kind representative, answered my question and was a very pleasant person to deal with.","Representative ,Representative ,Representative "
214,The person answered my question quickly.,Representative 
215,Ive had great customer care!,Customer Service 
216,Great customer service,Customer Service 
217,The person I spoke to was very helpful,Representative 
218,Low interest rate,Terms 
219,Very happy with the service I’ve received.,Customer Service 
220,Customer service rep was quick and  to the point and made the call easy to deal with. Very professional. There was a problem with my application witch was solved.,"Phone Experience ,Representative ,Representative "
